ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"60.12.77.43","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","209","N/A","7302","socks5","4609","2","2023-08-15T10:36:21.414Z","70","2390","3399"
"102.66.237.19","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","207","Herotel","5678","socks4","4198","2","2023-08-15T10:36:21.412Z","70","2372","3395"
"197.234.13.60","elite","AS36902","SC","Intelvision","179","Intelvision Ltd","4145","socks4","3406","2","2023-08-15T10:36:21.411Z","100","3350","3362"
"192.3.54.198","elite","AS36352","US","ColoCrossing","98","RackNerd LLC","3128","socks4","4917","1","2023-08-15T10:36:21.500Z","100","3439","3439"
"68.183.111.115","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","13428","socks4","4701","1","2023-08-15T10:36:20.842Z","86","2892","3364"
"192.12.113.255","elite","AS61942","BR","Turbonet Telecom Ltda","191","Turbonet Telecom Ltda","4145","socks4","2097","1","2023-08-15T10:36:20.844Z","75","2521","3380"
"123.25.116.228","elite","AS45899","VN","VietNam Post and Telecom Corporation","220","Vietnam Posts and Telecommunications Group","1080","socks4","5098","1","2023-08-15T10:36:20.850Z","89","3036","3426"
"202.91.186.129","elite","AS4808","CN","China Unicom Beijing Province Network","298","Beijing Sunway Xunteng Technology Development Co., Ltd","4145","socks4","3410","1","2023-08-15T10:36:15.439Z","83","2777","3364"
"110.78.149.43","elite","AS131090","TH","CAT-BB","199","N/A","4145","socks4","2906","1","2023-08-15T10:36:15.440Z","78","2602","3356"
"185.46.60.108","elite","AS15836","MD","Arax-Impex s.r.l.","53","N/A","5678","socks4","3193","1","2023-08-15T10:36:15.443Z","100","3409","3410"
"89.216.52.217","elite","AS31042","RS","Serbia Broadband","31","N/A","4153","socks4","4910","1","2023-08-15T10:36:15.437Z","100","3372","3380"
"89.237.34.13","elite","AS20485","RU","multi-origin SUTTK","85","N/A","51549","socks4","148","1","2023-08-15T10:36:08.513Z","99","3367","3403"
"217.115.115.252","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","23","Webworld","56792","socks5","4398","1","2023-08-15T10:36:08.600Z","95","3258","3441"
"182.53.129.113","elite","AS23969","TH","TOT Public Company Limited","156","TOT Public Company Limited","5678","socks4","1007","1","2023-08-15T10:36:08.514Z","46","1545","3389"
"200.54.28.123","elite","AS16629","CL","TEEMSR-LACNIC","283","Indap Talca Internet","5678","socks4","3706","1","2023-08-15T10:36:08.599Z","99","3380","3398"
"1.179.242.33","elite","AS23969","TH","TOT Public Company Limited","199","TOT Public Company Limited","4145","socks4","3691","1","2023-08-15T10:36:08.600Z","84","2903","3442"
"104.16.107.142","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","5192","1","2023-08-15T10:36:07.550Z","100","3405","3406"
"71.163.238.129","elite","AS701","US","Verizon Business","84","Verizon Business","1236","socks4","4006","1","2023-08-15T10:36:07.545Z","100","3315","3320"
"94.142.142.140","elite","AS209641","RU","I-servers LTD","84","I-servers LTD","3128","socks4","4694","1","2023-08-15T10:36:02.649Z","100","3392","3402"
"202.4.107.69","elite","AS23956","BD","dhakaCom Limited","181","DhakaCom Limited","5678","socks4","4805","2","2023-08-15T10:36:02.633Z","98","3381","3451"
"176.98.95.105","elite","AS41096","UA","TOV TV&Radio Company 'TIM'","51","TOV TV&Radio Company 'TIM'","30759","socks4","3700","1","2023-08-15T10:36:02.647Z","96","3277","3429"
"212.79.107.116","elite","AS8251","CZ","Neutral czFree eXchange members","39","Heaven - CZFree.Net, spol. s r.o.","5678","socks4","3909","1","2023-08-15T10:36:02.550Z","99","3346","3386"
"103.12.246.129","elite","AS134941","IN","Instant Cable Network PVT LTD","159","Instant Cable Network PVT LTD","4145","socks4","4703","1","2023-08-15T10:36:02.635Z","99","3404","3435"
"37.186.242.183","elite","AS12874","IT","Fastweb Networks","38","N/A","8080","socks4","5017","1","2023-08-15T10:36:02.636Z","92","3141","3428"
"104.17.197.90","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","2057","socks5","3009","1","2023-08-15T10:36:02.543Z","100","3296","3296"
"172.67.255.224","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4008","1","2023-08-15T10:35:57.136Z","100","3353","3353"
"138.94.190.138","elite","AS28343","BR","Unifique Telecomunica??es SA","287","Unifique Telecomunicações SA","8080","socks5","4999","2","2023-08-15T10:35:57.050Z","100","3378","3388"
"120.24.52.179","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","292","Aliyun Computing Co., LTD","3128","socks5","4706","1","2023-08-15T10:35:57.049Z","79","2674","3390"
"47.106.21.38","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","282","Aliyun Computing Co., LTD","7891","socks5","4492","1","2023-08-15T10:35:57.048Z","76","2544","3355"
"103.66.233.173","elite","AS134014","IN","NET 4 U SERVICES","127","N/A","4145","socks4","4714","1","2023-08-15T10:35:57.045Z","99","3402","3427"
"197.234.13.36","elite","AS36902","SC","Intelvision","194","Intelvision Ltd","4145","socks4","1003","1","2023-08-15T10:35:57.134Z","100","3289","3302"
